rbfg, trainN nasdaq0704_, dataFN nasdaq_1_3_05-1_28_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, MAPErr: 0.058764
rbfg, trainN nasdaq0704_, dataFN nasdaq_1_3_05-1_28_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, RMSErr: 477.503345
kgate, trainN nasdaq0704_, dataFN nasdaq_1_3_05-1_28_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, MAPErr: 0.062280
kgate, trainN nasdaq0704_, dataFN nasdaq_1_3_05-1_28_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, RMSErr: 502.373962
ann, trainN nasdaq0704_, dataFN nasdaq_1_3_05-1_28_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, MAPErr: 0.050430
ann, trainN nasdaq0704_, dataFN nasdaq_1_3_05-1_28_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, RMSErr: 512.627040
relu, trainN nasdaq0704_, dataFN nasdaq_1_3_05-1_28_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, MAPErr: 0.056002
relu, trainN nasdaq0704_, dataFN nasdaq_1_3_05-1_28_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, RMSErr: 559.168077
sig, trainN nasdaq0704_, dataFN nasdaq_1_3_05-1_28_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, MAPErr: 0.054137
sig, trainN nasdaq0704_, dataFN nasdaq_1_3_05-1_28_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, RMSErr: 441.455542
tanh, trainN nasdaq0704_, dataFN nasdaq_1_3_05-1_28_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, MAPErr: 0.054069
tanh, trainN nasdaq0704_, dataFN nasdaq_1_3_05-1_28_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, RMSErr: 464.286954
cnn, trainN nasdaq0704_, dataFN nasdaq_1_3_05-1_28_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, MAPErr: 0.060857
cnn, trainN nasdaq0704_, dataFN nasdaq_1_3_05-1_28_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, RMSErr: 470.320159

av pool
cnn, trainN nasdaq0704_, dataFN nasdaq_1_3_05-1_28_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, MAPErr: 0.062941
cnn, trainN nasdaq0704_, dataFN nasdaq_1_3_05-1_28_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, RMSErr: 552.248947
max pool
cnn, trainN nasdaq0704_, dataFN nasdaq_1_3_05-1_28_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, MAPErr: 0.061132
cnn, trainN nasdaq0704_, dataFN nasdaq_1_3_05-1_28_22.csv, NormF:1, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, RMSErr: 516.364801
max, 8, no-norm
cnn, trainN nasdaq0704_, dataFN nasdaq_1_3_05-1_28_22.csv, NormF:0, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, MAPErr: 0.044150
cnn, trainN nasdaq0704_, dataFN nasdaq_1_3_05-1_28_22.csv, NormF:0, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, RMSErr: 314.432549
no pooling 8 
cnn, trainN nasdaq0704_, dataFN nasdaq_1_3_05-1_28_22.csv, NormF:0, M_in:30, N_out:30, Tr_sess:35, Ts_sess:34, MAPErr: 0.040993
